publication_id,title,doi,pmcid,pmid,year,journal,authors,license,license_status,access_restriction_notes,redistribution_notes,source_url,pdf_url,fulltext_url,pdf_quality_notes,pdf_quality,corpus_topic,organism_model,exposure,selection_notes,inclusion_pass,exclusion_flags,ingestion_status,human_approval
pub_011,Detection of Target Genes for Drug Repurposing to Treat Skeletal Muscle Atrophy in Mice Flown in Spaceflight.,10.3390/genes13030473,PMC8953707,35328027,2022,,"Manian V, Orozco-Sandoval J, Diaz-Martinez V, Janwa H, Agrinsoni C.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.3390/genes13030473,https://europepmc.org/articles/PMC8953707?pdf=render,https://doi.org/10.3390/genes13030473,"page_count=20, text_chars=59638, empty_pages=0, image_pages=0, text_density=2981.9; text layer present and dense",good,microgravity_skeletal_muscle,mouse,spaceflight,drug repurposing targets,yes,none,not_ingested,approved
pub_012,Exercise preconditioning diminishes skeletal muscle atrophy after hindlimb suspension in mice.,10.1152/japplphysiol.00137.2018,PMC6230574,29975600,2018,,"Theilen NT, Jeremic N, Weber GJ, Tyagi SC.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1152/japplphysiol.00137.2018,https://journals.physiology.org/doi/pdf/10.1152/japplphysiol.00137.2018,https://doi.org/10.1152/japplphysiol.00137.2018,"page_count=12, text_chars=68616, empty_pages=0, image_pages=0, text_density=5718.0; text layer present and dense",good,microgravity_skeletal_muscle,mouse,hindlimb_suspension,exercise preconditioning,yes,none,not_ingested,approved
pub_013,Molecular and Metabolic Mechanism of Low-Intensity Pulsed Ultrasound Improving Muscle Atrophy in Hindlimb Unloading Rats.,10.3390/ijms222212112,PMC8625684,34829990,2021,,"Sun L, An S, Zhang Z, Zhou Y, Yu Y, Ma Z, Fan X, Tang L, Guo J.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.3390/ijms222212112,https://www.mdpi.com/1422-0067/22/22/12112/pdf?version=1636454567,https://doi.org/10.3390/ijms222212112,"page_count=21, text_chars=65459, empty_pages=0, image_pages=0, text_density=3117.1; text layer present and dense",good,microgravity_skeletal_muscle,rat,hindlimb_unloading,LIPUS countermeasure,yes,none,not_ingested,approved
pub_014,0.33g mitigates muscle atrophy while 0.67g preserves muscle function and myofiber type composition in mice during spaceflight.,10.1126/sciadv.aed2258,PMC12985678,41824581,2026,,"Tsuji R, Fujita R, Hayashi T, Sadaki S, Matsumoto T, Inoue Y, Murakami Y, Hamada M, Muratani M, Kobayashi H, Yumoto A, Okada M, Kamimura D, Okada R, Suzuki T, Kurosawa R, Otsuki A, Koshiba S, Vitatern",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1126/sciadv.aed2258,https://europepmc.org/articles/PMC12985678?pdf=render,https://doi.org/10.1126/sciadv.aed2258,"page_count=15, text_chars=87718, empty_pages=0, image_pages=0, text_density=5847.9; text layer present and dense",good,microgravity_skeletal_muscle,mouse,spaceflight_partial_gravity,partial-g thresholds for muscle mass/function/fiber type,yes,none,not_ingested,approved
pub_015,Estrogen Receptor Alpha (ERα) Is Involved in Resveratrol-Mediated Muscle Preservation During Mechanical Unloading in Male Rats.,10.3390/muscles5020023,PMC13108210,42029566,2026,,"Ayi-Bonte D, Dworacek S, Madden J, Evans J, Lofgren IE, Melanson KJ, Ward-Ritacco CL, Mortreux M.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.3390/muscles5020023,https://europepmc.org/articles/PMC13108210?pdf=render,https://doi.org/10.3390/muscles5020023,"page_count=15, text_chars=51893, empty_pages=0, image_pages=0, text_density=3459.5; text layer present and dense",good,microgravity_skeletal_muscle,rat,partial_weight_bearing,resveratrol ERα muscle preservation during unloading,yes,none,not_ingested,approved
pub_016,MicroAge mission: experimental design and hardware for a bespoke culture system supporting tissue-engineered skeletal muscle.,10.1038/s41526-026-00579-z,PMC13039470,41723202,2026,,"Jones SW, Shigdar S, Temple J, Tollitt B, Janvier A, Mutter F, Henstock JR, Ohana J, Turner DA, McArdle C, Neri G, Blackler W, Olentsenko G, Hoettges KF, McArdle A, Jackson MJ.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1038/s41526-026-00579-z,https://europepmc.org/articles/PMC13039470?pdf=render,https://doi.org/10.1038/s41526-026-00579-z,"page_count=13, text_chars=72270, empty_pages=0, image_pages=0, text_density=5559.2; text layer present and dense",good,microgravity_skeletal_muscle,engineered_human_muscle,spaceflight_iss,MicroAge ISS culture system for tissue-engineered skeletal muscle,yes,none,not_ingested,approved
pub_017,Integrated cross-species translation and biophysical multi-scale modeling links molecular signatures and locomotory phenotypes in spaceflight-induced sarcopenia.,10.1038/s41526-025-00557-x,PMC12894837,41526375,2026,,"Ball BK, Khan HF, Park JH, Jayant K, Chan DD, Brubaker DK.",cc-by-nc-nd,approved_oa_candidate,"Attribution (BY), non-commercial (NC), and no-derivatives (ND) required. This project is non-commercial. Passages may be quoted with citation and link to source; do not create adapted full-text derivatives.","Quote passages for non-commercial, citation-first answers. Do not sell the corpus, publish adapted full-text versions, or use the full text commercially. Re-review if the project later becomes commercial.",https://doi.org/10.1038/s41526-025-00557-x,https://europepmc.org/articles/PMC12894837?pdf=render,https://doi.org/10.1038/s41526-025-00557-x,"page_count=16, text_chars=79778, empty_pages=0, image_pages=0, text_density=4986.1; text layer present and dense",good,microgravity_skeletal_muscle,multi,spaceflight_modeling,cross-species translation and multi-scale modeling of spaceflight sarcopenia,yes,none,not_ingested,approved
pub_018,Human plasma extracellular vesicles as an exercise mimetic to preserve skeletal muscle plasticity during disuse.,10.1038/s41526-026-00582-4,PMC13230526,41792160,2026,,"Fliflet AM, Tan Y, Barnes TM, Vijayan AN, Choi SJ, Deutz MT, Zupancic Z, Spradlin RA, Miller BF, Burd NA, Sweedler JV, Boppart MD.",cc-by-nc-nd,approved_oa_candidate,"Attribution (BY), non-commercial (NC), and no-derivatives (ND) required. This project is non-commercial. Passages may be quoted with citation and link to source; do not create adapted full-text derivatives.","Quote passages for non-commercial, citation-first answers. Do not sell the corpus, publish adapted full-text versions, or use the full text commercially. Re-review if the project later becomes commercial.",https://doi.org/10.1038/s41526-026-00582-4,https://europepmc.org/articles/PMC13230526?pdf=render,https://doi.org/10.1038/s41526-026-00582-4,"page_count=12, text_chars=63602, empty_pages=0, image_pages=0, text_density=5300.2; text layer present and dense",good,microgravity_skeletal_muscle,human_evs_mouse_hu,hindlimb_unloading,human plasma EVs as exercise mimetic during disuse,yes,none,not_ingested,approved
pub_019,Microgravity accelerates skeletal muscle degeneration: Functional and transcriptomic insights from an ISS muscle lab-on-chip model.,10.1016/j.stemcr.2025.102550,PMC12277833,40578352,2025,,"Parafati M, Thwin Z, Malany LK, Coen PM, Malany S.",cc-by-nc-nd,approved_oa_candidate,"Attribution (BY), non-commercial (NC), and no-derivatives (ND) required. This project is non-commercial. Passages may be quoted with citation and link to source; do not create adapted full-text derivatives.","Quote passages for non-commercial, citation-first answers. Do not sell the corpus, publish adapted full-text versions, or use the full text commercially. Re-review if the project later becomes commercial.",https://doi.org/10.1016/j.stemcr.2025.102550,https://europepmc.org/articles/PMC12277833?pdf=render,https://doi.org/10.1016/j.stemcr.2025.102550,"page_count=15, text_chars=60672, empty_pages=0, image_pages=0, text_density=4044.8; text layer present and dense",good,microgravity_skeletal_muscle,human_engineered_muscle,spaceflight_iss,ISS muscle lab-on-chip functional and transcriptomic study,yes,none,not_ingested,approved
pub_020,Simulated microgravity accurately models long-duration spaceflight effects on bone and skeletal muscle in skeletally immature mice.,10.1016/j.bonr.2025.101871,PMC12398213,40894391,2025,,"Friedman MA, Zeineddine Y, Tuyambaze O, Elhawabri W, Al Shammary A, Stodieck L, Ferguson VL, Donahue HJ.",cc-by-nc-nd,approved_oa_candidate,"Attribution (BY), non-commercial (NC), and no-derivatives (ND) required. This project is non-commercial. Passages may be quoted with citation and link to source; do not create adapted full-text derivatives.","Quote passages for non-commercial, citation-first answers. Do not sell the corpus, publish adapted full-text versions, or use the full text commercially. Re-review if the project later becomes commercial.",https://doi.org/10.1016/j.bonr.2025.101871,https://europepmc.org/articles/PMC12398213?pdf=render,https://doi.org/10.1016/j.bonr.2025.101871,"page_count=8, text_chars=40456, empty_pages=0, image_pages=0, text_density=5057.0; text layer present and dense",good,microgravity_skeletal_muscle,mouse,spaceflight_vs_hindlimb_unloading,simulated microgravity vs long-duration spaceflight bone and muscle,yes,none,not_ingested,approved
pub_021,Abdominal LIPUS ameliorates simulated microgravity induced skeletal muscle atrophy via the gut-muscle axis.,10.1038/s41526-025-00514-8,PMC12559376,41145481,2025,,"Yu Y, Zheng Y, Zhang H, Fan X, Guo J, Sun L, Tang L, Ta D.",cc-by-nc-nd,approved_oa_candidate,"Attribution (BY), non-commercial (NC), and no-derivatives (ND) required. This project is non-commercial. Passages may be quoted with citation and link to source; do not create adapted full-text derivatives.","Quote passages for non-commercial, citation-first answers. Do not sell the corpus, publish adapted full-text versions, or use the full text commercially. Re-review if the project later becomes commercial.",https://doi.org/10.1038/s41526-025-00514-8,https://europepmc.org/articles/PMC12559376?pdf=render,https://doi.org/10.1038/s41526-025-00514-8,"page_count=17, text_chars=78171, empty_pages=0, image_pages=0, text_density=4598.3; text layer present and dense",good,microgravity_skeletal_muscle,mouse,simulated_microgravity,abdominal LIPUS via gut-muscle axis,yes,none,not_ingested,approved
pub_022,hBMSC-EVs alleviate weightlessness-induced skeletal muscle atrophy by suppressing oxidative stress and inflammation.,10.1186/s13287-025-04175-y,PMC11792267,39901193,2025,,"Chang M, Liu R, Chen B, Xu J, Wang W, Ji Y, Gao Z, Liu B, Yao X, Sun H, Xu F, Shen Y.",cc-by-nc-nd,approved_oa_candidate,"Attribution (BY), non-commercial (NC), and no-derivatives (ND) required. This project is non-commercial. Passages may be quoted with citation and link to source; do not create adapted full-text derivatives.","Quote passages for non-commercial, citation-first answers. Do not sell the corpus, publish adapted full-text versions, or use the full text commercially. Re-review if the project later becomes commercial.",https://doi.org/10.1186/s13287-025-04175-y,https://europepmc.org/articles/PMC11792267?pdf=render,https://doi.org/10.1186/s13287-025-04175-y,"page_count=18, text_chars=69563, empty_pages=0, image_pages=0, text_density=3864.6; text layer present and dense",good,microgravity_skeletal_muscle,mouse_c2c12,hindlimb_unloading,hBMSC-EVs for weightlessness-induced muscle atrophy,yes,none,not_ingested,approved
pub_023,"Mouse hindlimb unloading, as a model of simulated microgravity, leads to dysregulated iron homeostasis in liver and skeletal muscle cells.",10.1016/j.lssr.2025.01.003,,,2025,Life Sciences in Space Research,"Rah B, Shafarin J, Qaisar R, Karim A, Hamad M, Muhammad JS.",cc-by,approved_oa_candidate,Attribution (BY) required. Passages may be retrieved and quoted with citation and link to source.,Passage quoting with source link is allowed. Full-text redistribution or derivative works require attribution; do not remove copyright notices.,https://doi.org/10.1016/j.lssr.2025.01.003,https://doi.org/10.1016/j.lssr.2025.01.003,https://doi.org/10.1016/j.lssr.2025.01.003,Downloaded content from https://doi.org/10.1016/j.lssr.2025.01.003 is not a PDF; error=invalid content,missing,microgravity_skeletal_muscle,mouse,hindlimb_unloading,"Verified OA hybrid CC BY 4.0 via Crossref VOR license + Unpaywall/OpenAlex; HU simulated microgravity + skeletal muscle iron homeostasis (Rah et al., 2025)",yes,none,pdf_quality_blocked,approved
